SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1033,['flagpole' 'iPod' 'bison' 'maypole' 'guacamole' 'crane' 'broom' 'ladybug' 'parking meter' 'obelisk'],59.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1034,['organ' 'sombrero' 'jinrikisha' 'pomegranate' 'banana' 'sulphur butterfly' 'German shepherd' 'coral reef' 'Chihuahua' 'albatross'],64.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1034,['organ' 'sombrero' 'jinrikisha' 'pomegranate' 'banana' 'sulphur butterfly' 'German shepherd' 'coral reef' 'Chihuahua' 'albatross'],64.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1035,['turnstile' 'stopwatch' 'African elephant' 'trolleybus' 'bikini' 'volleyball' 'barrel' 'fountain' 'cannon' 'maypole'],43.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1035,['turnstile' 'stopwatch' 'African elephant' 'trolleybus' 'bikini' 'volleyball' 'barrel' 'fountain' 'cannon' 'maypole'],53.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1036,['sea cucumber' 'obelisk' 'sports car' 'drumstick' 'punching bag' 'European fire salamander' 'pomegranate' 'brass' 'stopwatch' 'walking stick'],61.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1036,['sea cucumber' 'obelisk' 'sports car' 'drumstick' 'punching bag' 'European fire salamander' 'pomegranate' 'brass' 'stopwatch' 'walking stick'],66.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1037,['bow tie' 'wooden spoon' 'spiny lobster' 'punching bag' 'pay-phone' 'Arabian camel' 'pomegranate' 'chest' 'lakeside' 'goose'],51.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1037,['bow tie' 'wooden spoon' 'spiny lobster' 'punching bag' 'pay-phone' 'Arabian camel' 'pomegranate' 'chest' 'lakeside' 'goose'],55.60%,True,100,25,10,0.00100,0.00,32x32x3
random/1038,['limousine' 'brown bear' 'barn' 'volleyball' 'mushroom' 'beach wagon' 'syringe' 'CD player' 'chimpanzee' 'iPod'],51.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1038,['limousine' 'brown bear' 'barn' 'volleyball' 'mushroom' 'beach wagon' 'syringe' 'CD player' 'chimpanzee' 'iPod'],54.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1039,['oboe' 'beach wagon' 'cash machine' 'beacon' 'golden retriever' 'mashed potato' 'syringe' 'cliff dwelling' 'lakeside' 'European fire salamander'],51.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1039,['oboe' 'beach wagon' 'cash machine' 'beacon' 'golden retriever' 'mashed potato' 'syringe' 'cliff dwelling' 'lakeside' 'European fire salamander'],58.00%,True,100,25,10,0.00100,0.00,32x32x3
SET,CLASSES,ACCURACY,NORMALIZE,BATCH_SIZE,EPOCHS,# CLASSES,LEARNING RATE,WEIGHT DECAY,IMAGE SIZE
random/1040,['coral reef' 'hog' 'bison' 'lawn mower' 'king penguin' 'cougar' 'volleyball' 'rocking chair' 'snorkel' 'beaker'],51.20%,False,100,25,10,0.00100,0.00,32x32x3
random/1040,['coral reef' 'hog' 'bison' 'lawn mower' 'king penguin' 'cougar' 'volleyball' 'rocking chair' 'snorkel' 'beaker'],51.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1041,['boa constrictor' 'trolleybus' 'cockroach' 'dining table' 'pomegranate' 'seashore' 'bullet train' 'backpack' 'coral reef' 'German shepherd'],60.40%,False,100,25,10,0.00100,0.00,32x32x3
random/1041,['boa constrictor' 'trolleybus' 'cockroach' 'dining table' 'pomegranate' 'seashore' 'bullet train' 'backpack' 'coral reef' 'German shepherd'],62.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1042,['lion' 'jellyfish' 'beer bottle' 'scorpion' 'oboe' 'walking stick' 'bell pepper' 'bighorn' 'Yorkshire terrier' 'go-kart'],52.80%,False,100,25,10,0.00100,0.00,32x32x3
random/1042,['lion' 'jellyfish' 'beer bottle' 'scorpion' 'oboe' 'walking stick' 'bell pepper' 'bighorn' 'Yorkshire terrier' 'go-kart'],55.80%,True,100,25,10,0.00100,0.00,32x32x3
random/1043,['space heater' 'European fire salamander' 'boa constrictor' 'trolleybus' 'torch' 'Labrador retriever' 'lawn mower' 'police van' 'organ' 'goose'],53.20%,False,100,25,10,0.00100,0.00,32x32x3
random/1043,['space heater' 'European fire salamander' 'boa constrictor' 'trolleybus' 'torch' 'Labrador retriever' 'lawn mower' 'police van' 'organ' 'goose'],57.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1044,['mushroom' 'neck brace' 'sports car' 'albatross' 'military uniform' 'confectionery' 'bow tie' 'snorkel' 'fly' 'bikini'],58.00%,False,100,25,10,0.00100,0.00,32x32x3
random/1044,['mushroom' 'neck brace' 'sports car' 'albatross' 'military uniform' 'confectionery' 'bow tie' 'snorkel' 'fly' 'bikini'],60.00%,True,100,25,10,0.00100,0.00,32x32x3
random/1045,['jellyfish' 'barn' 'lesser panda' 'ladybug' 'hourglass' 'space heater' 'standard poodle' 'cash machine' 'European fire salamander' 'moving van'],63.60%,False,100,25,10,0.00100,0.00,32x32x3
random/1045,['jellyfish' 'barn' 'lesser panda' 'ladybug' 'hourglass' 'space heater' 'standard poodle' 'cash machine' 'European fire salamander' 'moving van'],59.40%,True,100,25,10,0.00100,0.00,32x32x3
random/1046,['potpie' 'triumphal arch' 'standard poodle' 'sewing machine' 'crane' 'sea cucumber' 'fly' 'bighorn' 'American lobster' 'moving van'],54.80%,False,100,25,10,0.00100,0.00,32x32x3
